Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1_Lic;Arb1_Nom;Arb1_LR;Arb1_CD;Arb2_Lic;Arb2_Nom;Arb2_LR;Arb2_CD;
PTCA06;02;APAA009;2023-10-23;20:00;0060050;PHENIX MARITIMUM VOLLEY;0060041;PEGOMAS 1; 3/0;25-10,25-10,25-18;75-38;DAVID DOUILLET;0;;;;0;;;;;
PTCA06;02;APAA010;2023-10-27;20:30;0069927;ASPTT CAGNES SUR MER;0069048;ASLM 1; 3/0;25-14,25-11,25-12;75-37;COLLEGE MALRAUX;0;;;;0;;;;;
PTCA06;03;APAA011;2023-11-08;20:30;0067689;US CAGNES 1;0069927;ASPTT CAGNES SUR MER; 0/3;16-25,17-25,15-25;48-75;JULES VERNE;0;;;;0;;;;;
PTCA06;03;APAA012;2023-11-09;20:00;0069048;ASLM 1;0060050;PHENIX MARITIMUM VOLLEY; 0/3;21-25,22-25,23-25;66-75;GYMNASE JACQUELINE DE ROMILLY;0;;;;0;;;;;
PTCA06;03;APAA013;2023-11-07;19:30;0060041;PEGOMAS 1;0068779;CLUB OMNISPORTS DE VALBONNE; 2/3;17-25,25-15,14-25,25-20,2-15;83-100;PEGOMAS;0;;;;0;;;;;
PTCA06;03;APAA014;2023-11-06;20:30;0060008;MLNVB 1;0068979;CANNES AERO SPORTS VOLLEY-BALL; 3/0;25-18,25-21,25-13;75-52;MIMOSAS;0;;;;0;;;;;
PTCA06;03;APAA015;2023-11-06;20:00;0060036;PGVB 1;0063347;PDFVB 1; 1/3;25-17,20-25,23-25,15-25;83-92;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;04;APAA016;2023-11-13;20:00;0060036;PGVB 1;0067689;US CAGNES 1; 3/0;25-12,25-14,25-22;75-48;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;04;APAA017;2023-11-16;20:30;0063347;PDFVB 1;0060008;MLNVB 1; 3/1;17-25,25-23,25-23,25-22;92-93;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;04;APAA018;2023-11-16;20:00;0068979;CANNES AERO SPORTS VOLLEY-BALL;0060041;PEGOMAS 1; 3/1;25-21,25-22,18-25,25-16;93-84;SALLE LES VALLERGUES;0;;;;0;;;;;
PTCA06;04;APAA019;2023-11-16;20:00;0068779;CLUB OMNISPORTS DE VALBONNE;0069048;ASLM 1; 1/3;19-25,27-25,18-25,22-25;86-100;NIKI DE SAINT PHALLE;0;;;;0;;;;;
PTCA06;04;APAA020;2023-11-13;20:00;0060050;PHENIX MARITIMUM VOLLEY;0069927;ASPTT CAGNES SUR MER; 3/0;25-13,25-17,25-16;75-46;DAVID DOUILLET;0;;;;0;;;;;
